Id,County,State
1,Autauga County,Alabama
2,Baldwin County,Alabama
3,Barbour County,Alabama
4,Bibb County,Alabama
5,Blount County,Alabama
6,Bullock County,Alabama
7,Butler County,Alabama
8,Calhoun County,Alabama
9,Chambers County,Alabama
10,Cherokee County,Alabama
11,Chilton County,Alabama
12,Choctaw County,Alabama
13,Clarke County,Alabama
14,Clay County,Alabama
15,Cleburne County,Alabama
16,Coffee County,Alabama
17,Colbert County,Alabama
18,Conecuh County,Alabama
19,Coosa County,Alabama
20,Covington County,Alabama
21,Crenshaw County,Alabama
22,Cullman County,Alabama
23,Dale County,Alabama
24,Dallas County,Alabama
25,DeKalb County,Alabama
26,Elmore County,Alabama
27,Escambia County,Alabama
28,Etowah County,Alabama
29,Fayette County,Alabama
30,Franklin County,Alabama
31,Geneva County,Alabama
32,Greene County,Alabama
33,Hale County,Alabama
34,Henry County,Alabama
35,Houston County,Alabama
36,Jackson County,Alabama
37,Jefferson County,Alabama
38,Lamar County,Alabama
39,Lauderdale County,Alabama
40,Lawrence County,Alabama
41,Lee County,Alabama
42,Limestone County,Alabama
43,Lowndes County,Alabama
44,Macon County,Alabama
45,Madison County,Alabama
46,Marengo County,Alabama
47,Marion County,Alabama
48,Marshall County,Alabama
49,Mobile County,Alabama
50,Monroe County,Alabama
51,Montgomery County,Alabama
52,Morgan County,Alabama
53,Perry County,Alabama
54,Pickens County,Alabama
55,Pike County,Alabama
56,Randolph County,Alabama
57,Russell County,Alabama
58,St. Clair County,Alabama
59,Shelby County,Alabama
60,Sumter County,Alabama
61,Talladega County,Alabama
62,Tallapoosa County,Alabama
63,Tuscaloosa County,Alabama
64,Walker County,Alabama
65,Washington County,Alabama
66,Wilcox County,Alabama
67,Winston County,Alabama
68,Aleutians West County,Alaska
69,Aleutians East County,Alaska
70,Anchorage County,Alaska
71,Bethel County,Alaska
72,Bristol Bay County,Alaska
73,Dillingham County,Alaska
74,Fairbanks North Star County,Alaska
75,Haines County,Alaska
76,Juneau County,Alaska
77,Kenai Peninsula County,Alaska
78,Ketchikan Gateway County,Alaska
79,Lake and Peninsula County,Alaska
80,Kodiak Island County,Alaska
81,Matanuska-Susitna County,Alaska
82,Nome County,Alaska
83,North Slope County,Alaska
84,Northwest Arctic County,Alaska
85,Prince of Wales-Outer Ketchikan County,Alaska
86,Sitka County,Alaska
87,Skagway-Yakutat-Angoon County,Alaska
88,Southeast Fairbanks County,Alaska
89,Valdez-Cordova County,Alaska
90,Wade Hampton County,Alaska
91,Wrangell-Petersburg County,Alaska
92,Yukon-Koyukuk County,Alaska
93,Apache County,Arizona
94,Cochise County,Arizona
95,Coconino County,Arizona
96,Gila County,Arizona
97,Graham County,Arizona
98,Greenlee County,Arizona
99,La Paz County,Arizona
100,Maricopa County,Arizona
101,Mohave County,Arizona
102,Navajo County,Arizona
103,Pima County,Arizona
104,Pinal County,Arizona
105,Santa Cruz County,Arizona
106,Yavapai County,Arizona
107,Yuma County,Arizona
108,Arkansas County,Arkansas
109,Ashley County,Arkansas
110,Baxter County,Arkansas
111,Benton County,Arkansas
112,Boone County,Arkansas
113,Bradley County,Arkansas
114,Calhoun County,Arkansas
115,Carroll County,Arkansas
116,Chicot County,Arkansas
117,Clark County,Arkansas
118,Clay County,Arkansas
119,Cleburne County,Arkansas
120,Cleveland County,Arkansas
121,Columbia County,Arkansas
122,Conway County,Arkansas
123,Craighead County,Arkansas
124,Crawford County,Arkansas
125,Crittenden County,Arkansas
126,Cross County,Arkansas
127,Dallas County,Arkansas
128,Desha County,Arkansas
129,Drew County,Arkansas
130,Faulkner County,Arkansas
131,Franklin County,Arkansas
132,Fulton County,Arkansas
133,Garland County,Arkansas
134,Grant County,Arkansas
135,Greene County,Arkansas
136,Hempstead County,Arkansas
137,Hot Spring County,Arkansas
138,Howard County,Arkansas
139,Independence County,Arkansas
140,Izard County,Arkansas
141,Jackson County,Arkansas
142,Jefferson County,Arkansas
143,Johnson County,Arkansas
144,Lafayette County,Arkansas
145,Lawrence County,Arkansas
146,Lee County,Arkansas
147,Lincoln County,Arkansas
148,Little River County,Arkansas
149,Logan County,Arkansas
150,Lonoke County,Arkansas
151,Madison County,Arkansas
152,Marion County,Arkansas
153,Miller County,Arkansas
154,Mississippi County,Arkansas
155,Monroe County,Arkansas
156,Montgomery County,Arkansas
157,Nevada County,Arkansas
158,Newton County,Arkansas
159,Ouachita County,Arkansas
160,Perry County,Arkansas
161,Phillips County,Arkansas
162,Pike County,Arkansas
163,Poinsett County,Arkansas
164,Polk County,Arkansas
165,Pope County,Arkansas
166,Prairie County,Arkansas
167,Pulaski County,Arkansas
168,Randolph County,Arkansas
169,St. Francis County,Arkansas
170,Saline County,Arkansas
171,Scott County,Arkansas
172,Searcy County,Arkansas
173,Sebastian County,Arkansas
174,Sevier County,Arkansas
175,Sharp County,Arkansas
176,Stone County,Arkansas
177,Union County,Arkansas
178,Van Buren County,Arkansas
179,Washington County,Arkansas
180,White County,Arkansas
181,Woodruff County,Arkansas
182,Yell County,Arkansas
183,Alameda County,California
184,Alpine County,California
185,Amador County,California
186,Butte County,California
187,Calaveras County,California
188,Colusa County,California
189,Contra Costa County,California
190,Del Norte County,California
191,El Dorado County,California
192,Fresno County,California
193,Glenn County,California
194,Humboldt County,California
195,Imperial County,California
196,Inyo County,California
197,Kern County,California
198,Kings County,California
199,Lake County,California
200,Lassen County,California
201,Los Angeles County,California
202,Madera County,California
203,Marin County,California
204,Mariposa County,California
205,Mendocino County,California
206,Merced County,California
207,Modoc County,California
208,Mono County,California
209,Monterey County,California
210,Napa County,California
211,Nevada County,California
212,Orange County,California
213,Placer County,California
214,Plumas County,California
215,Riverside County,California
216,Sacramento County,California
217,San Benito County,California
218,San Bernardino County,California
219,San Diego County,California
220,San Francisco County,California
221,San Joaquin County,California
222,San Luis Obispo County,California
223,San Mateo County,California
224,Santa Barbara County,California
225,Santa Clara County,California
226,Santa Cruz County,California
227,Shasta County,California
228,Sierra County,California
229,Siskiyou County,California
230,Solano County,California
231,Sonoma County,California
232,Stanislaus County,California
233,Sutter County,California
234,Tehama County,California
235,Trinity County,California
236,Tulare County,California
237,Tuolumne County,California
238,Ventura County,California
239,Yolo County,California
240,Yuba County,California
241,Adams County,Colorado
242,Alamosa County,Colorado
243,Arapahoe County,Colorado
244,Archuleta County,Colorado
245,Baca County,Colorado
246,Bent County,Colorado
247,Boulder County,Colorado
248,Chaffee County,Colorado
249,Cheyenne County,Colorado
250,Clear Creek County,Colorado
251,Conejos County,Colorado
252,Costilla County,Colorado
253,Crowley County,Colorado
254,Custer County,Colorado
255,Delta County,Colorado
256,Denver County,Colorado
257,Dolores County,Colorado
258,Douglas County,Colorado
259,Eagle County,Colorado
260,Elbert County,Colorado
261,El Paso County,Colorado
262,Fremont County,Colorado
263,Garfield County,Colorado
264,Gilpin County,Colorado
265,Grand County,Colorado
266,Gunnison County,Colorado
267,Hinsdale County,Colorado
268,Huerfano County,Colorado
269,Jackson County,Colorado
270,Jefferson County,Colorado
271,Kiowa County,Colorado
272,Kit Carson County,Colorado
273,Lake County,Colorado
274,La Plata County,Colorado
275,Larimer County,Colorado
276,Las Animas County,Colorado
277,Lincoln County,Colorado
278,Logan County,Colorado
279,Mesa County,Colorado
280,Mineral County,Colorado
281,Moffat County,Colorado
282,Montezuma County,Colorado
283,Montrose County,Colorado
284,Morgan County,Colorado
285,Otero County,Colorado
286,Ouray County,Colorado
287,Park County,Colorado
288,Phillips County,Colorado
289,Pitkin County,Colorado
290,Prowers County,Colorado
291,Pueblo County,Colorado
292,Rio Blanco County,Colorado
293,Rio Grande County,Colorado
294,Routt County,Colorado
295,Saguache County,Colorado
296,San Juan County,Colorado
297,San Miguel County,Colorado
298,Sedgwick County,Colorado
299,Summit County,Colorado
300,Teller County,Colorado
301,Washington County,Colorado
302,Weld County,Colorado
303,Yuma County,Colorado
304,Fairfield County,Connecticut
305,Hartford County,Connecticut
306,Litchfield County,Connecticut
307,Middlesex County,Connecticut
308,New Haven County,Connecticut
309,New London County,Connecticut
310,Tolland County,Connecticut
311,Windham County,Connecticut
312,Kent County,Delaware
313,New Castle County,Delaware
314,Sussex County,Delaware
315,Washington DC City,District of Columbia
316,Alachua County,Florida
317,Baker County,Florida
318,Bay County,Florida
319,Bradford County,Florida
320,Brevard County,Florida
321,Broward County,Florida
322,Calhoun County,Florida
323,Charlotte County,Florida
324,Citrus County,Florida
325,Clay County,Florida
326,Collier County,Florida
327,Columbia County,Florida
328,Miami-Dade County,Florida
329,DeSoto County,Florida
330,Dixie County,Florida
331,Duval County,Florida
332,Escambia County,Florida
333,Flagler County,Florida
334,Franklin County,Florida
335,Gadsden County,Florida
336,Gilchrist County,Florida
337,Glades County,Florida
338,Gulf County,Florida
339,Hamilton County,Florida
340,Hardee County,Florida
341,Hendry County,Florida
342,Hernando County,Florida
343,Highlands County,Florida
344,Hillsborough County,Florida
345,Holmes County,Florida
346,Indian River County,Florida
347,Jackson County,Florida
348,Jefferson County,Florida
349,Lafayette County,Florida
350,Lake County,Florida
351,Lee County,Florida
352,Leon County,Florida
353,Levy County,Florida
354,Liberty County,Florida
355,Madison County,Florida
356,Manatee County,Florida
357,Marion County,Florida
358,Martin County,Florida
359,Monroe County,Florida
360,Nassau County,Florida
361,Okaloosa County,Florida
362,Okeechobee County,Florida
363,Orange County,Florida
364,Osceola County,Florida
365,Palm Beach County,Florida
366,Pasco County,Florida
367,Pinellas County,Florida
368,Polk County,Florida
369,Putnam County,Florida
370,St. Johns County,Florida
371,St. Lucie County,Florida
372,Santa Rosa County,Florida
373,Sarasota County,Florida
374,Seminole County,Florida
375,Sumter County,Florida
376,Suwannee County,Florida
377,Taylor County,Florida
378,Union County,Florida
379,Volusia County,Florida
380,Wakulla County,Florida
381,Walton County,Florida
382,Washington County,Florida
383,Appling County,Georgia
384,Atkinson County,Georgia
385,Bacon County,Georgia
386,Baker County,Georgia
387,Baldwin County,Georgia
388,Banks County,Georgia
389,Barrow County,Georgia
390,Bartow County,Georgia
391,Ben Hill County,Georgia
392,Berrien County,Georgia
393,Bibb County,Georgia
394,Bleckley County,Georgia
395,Brantley County,Georgia
396,Brooks County,Georgia
397,Bryan County,Georgia
398,Bulloch County,Georgia
399,Burke County,Georgia
400,Butts County,Georgia
401,Calhoun County,Georgia
402,Camden County,Georgia
403,Candler County,Georgia
404,Carroll County,Georgia
405,Catoosa County,Georgia
406,Charlton County,Georgia
407,Chatham County,Georgia
408,Chattahoochee County,Georgia
409,Chattooga County,Georgia
410,Cherokee County,Georgia
411,Clarke County,Georgia
412,Clay County,Georgia
413,Clayton County,Georgia
414,Clinch County,Georgia
415,Cobb County,Georgia
416,Coffee County,Georgia
417,Colquitt County,Georgia
418,Columbia County,Georgia
419,Cook County,Georgia
420,Coweta County,Georgia
421,Crawford County,Georgia
422,Crisp County,Georgia
423,Dade County,Georgia
424,Dawson County,Georgia
425,Decatur County,Georgia
426,DeKalb County,Georgia
427,Dodge County,Georgia
428,Dooly County,Georgia
429,Dougherty County,Georgia
430,Douglas County,Georgia
431,Early County,Georgia
432,Echols County,Georgia
433,Effingham County,Georgia
434,Elbert County,Georgia
435,Emanuel County,Georgia
436,Evans County,Georgia
437,Fannin County,Georgia
438,Fayette County,Georgia
439,Floyd County,Georgia
440,Forsyth County,Georgia
441,Franklin County,Georgia
442,Fulton County,Georgia
443,Gilmer County,Georgia
444,Glascock County,Georgia
445,Glynn County,Georgia
446,Gordon County,Georgia
447,Grady County,Georgia
448,Greene County,Georgia
449,Gwinnett County,Georgia
450,Habersham County,Georgia
451,Hall County,Georgia
452,Hancock County,Georgia
453,Haralson County,Georgia
454,Harris County,Georgia
455,Hart County,Georgia
456,Heard County,Georgia
457,Henry County,Georgia
458,Houston County,Georgia
459,Irwin County,Georgia
460,Jackson County,Georgia
461,Jasper County,Georgia
462,Jeff Davis County,Georgia
463,Jefferson County,Georgia
464,Jenkins County,Georgia
465,Johnson County,Georgia
466,Jones County,Georgia
467,Lamar County,Georgia
468,Lanier County,Georgia
469,Laurens County,Georgia
470,Lee County,Georgia
471,Liberty County,Georgia
472,Lincoln County,Georgia
473,Long County,Georgia
474,Lowndes County,Georgia
475,Lumpkin County,Georgia
476,McDuffie County,Georgia
477,McIntosh County,Georgia
478,Macon County,Georgia
479,Madison County,Georgia
480,Marion County,Georgia
481,Meriwether County,Georgia
482,Miller County,Georgia
483,Mitchell County,Georgia
484,Monroe County,Georgia
485,Montgomery County,Georgia
486,Morgan County,Georgia
487,Murray County,Georgia
488,Muscogee County,Georgia
489,Newton County,Georgia
490,Oconee County,Georgia
491,Oglethorpe County,Georgia
492,Paulding County,Georgia
493,Peach County,Georgia
494,Pickens County,Georgia
495,Pierce County,Georgia
496,Pike County,Georgia
497,Polk County,Georgia
498,Pulaski County,Georgia
499,Putnam County,Georgia
500,Quitman County,Georgia
501,Rabun County,Georgia
502,Randolph County,Georgia
503,Richmond County,Georgia
504,Rockdale County,Georgia
505,Schley County,Georgia
506,Screven County,Georgia
507,Seminole County,Georgia
508,Spalding County,Georgia
509,Stephens County,Georgia
510,Stewart County,Georgia
511,Sumter County,Georgia
512,Talbot County,Georgia
513,Taliaferro County,Georgia
514,Tattnall County,Georgia
515,Taylor County,Georgia
516,Telfair County,Georgia
517,Terrell County,Georgia
518,Thomas County,Georgia
519,Tift County,Georgia
520,Toombs County,Georgia
521,Towns County,Georgia
522,Treutlen County,Georgia
523,Troup County,Georgia
524,Turner County,Georgia
525,Twiggs County,Georgia
526,Union County,Georgia
527,Upson County,Georgia
528,Walker County,Georgia
529,Walton County,Georgia
530,Ware County,Georgia
531,Warren County,Georgia
532,Washington County,Georgia
533,Wayne County,Georgia
534,Webster County,Georgia
535,Wheeler County,Georgia
536,White County,Georgia
537,Whitfield County,Georgia
538,Wilcox County,Georgia
539,Wilkes County,Georgia
540,Wilkinson County,Georgia
541,Worth County,Georgia
542,Hawaii County,Hawaii
543,Honolulu County,Hawaii
544,Kalawao County,Hawaii
545,Kauai County,Hawaii
546,Maui County,Hawaii
547,Ada County,Idaho
548,Adams County,Idaho
549,Bannock County,Idaho
550,Bear Lake County,Idaho
551,Benewah County,Idaho
552,Bingham County,Idaho
553,Blaine County,Idaho
554,Boise County,Idaho
555,Bonner County,Idaho
556,Bonneville County,Idaho
557,Boundary County,Idaho
558,Butte County,Idaho
559,Camas County,Idaho
560,Canyon County,Idaho
561,Caribou County,Idaho
562,Cassia County,Idaho
563,Clark County,Idaho
564,Clearwater County,Idaho
565,Custer County,Idaho
566,Elmore County,Idaho
567,Franklin County,Idaho
568,Fremont County,Idaho
569,Gem County,Idaho
570,Gooding County,Idaho
571,Idaho County,Idaho
572,Jefferson County,Idaho
573,Jerome County,Idaho
574,Kootenai County,Idaho
575,Latah County,Idaho
576,Lemhi County,Idaho
577,Lewis County,Idaho
578,Lincoln County,Idaho
579,Madison County,Idaho
580,Minidoka County,Idaho
581,Nez Perce County,Idaho
582,Oneida County,Idaho
583,Owyhee County,Idaho
584,Payette County,Idaho
585,Power County,Idaho
586,Shoshone County,Idaho
587,Teton County,Idaho
588,Twin Falls County,Idaho
589,Valley County,Idaho
590,Washington County,Idaho
591,Adams County,Illinois
592,Alexander County,Illinois
593,Bond County,Illinois
594,Boone County,Illinois
595,Brown County,Illinois
596,Bureau County,Illinois
597,Calhoun County,Illinois
598,Carroll County,Illinois
599,Cass County,Illinois
600,Champaign County,Illinois
601,Christian County,Illinois
602,Clark County,Illinois
603,Clay County,Illinois
604,Clinton County,Illinois
605,Coles County,Illinois
606,Cook County,Illinois
607,Crawford County,Illinois
608,Cumberland County,Illinois
609,DeKalb County,Illinois
610,De Witt County,Illinois
611,Douglas County,Illinois
612,DuPage County,Illinois
613,Edgar County,Illinois
614,Edwards County,Illinois
615,Effingham County,Illinois
616,Fayette County,Illinois
617,Ford County,Illinois
618,Franklin County,Illinois
619,Fulton County,Illinois
620,Gallatin County,Illinois
621,Greene County,Illinois
622,Grundy County,Illinois
623,Hamilton County,Illinois
624,Hancock County,Illinois
625,Hardin County,Illinois
626,Henderson County,Illinois
627,Henry County,Illinois
628,Iroquois County,Illinois
629,Jackson County,Illinois
630,Jasper County,Illinois
631,Jefferson County,Illinois
632,Jersey County,Illinois
633,Jo Daviess County,Illinois
634,Johnson County,Illinois
635,Kane County,Illinois
636,Kankakee County,Illinois
637,Kendall County,Illinois
638,Knox County,Illinois
639,Lake County,Illinois
640,La Salle County,Illinois
641,Lawrence County,Illinois
642,Lee County,Illinois
643,Livingston County,Illinois
644,Logan County,Illinois
645,McDonough County,Illinois
646,McHenry County,Illinois
647,McLean County,Illinois
648,Macon County,Illinois
649,Macoupin County,Illinois
650,Madison County,Illinois
651,Marion County,Illinois
652,Marshall County,Illinois
653,Mason County,Illinois
654,Massac County,Illinois
655,Menard County,Illinois
656,Mercer County,Illinois
657,Monroe County,Illinois
658,Montgomery County,Illinois
659,Morgan County,Illinois
660,Moultrie County,Illinois
661,Ogle County,Illinois
662,Peoria County,Illinois
663,Perry County,Illinois
664,Piatt County,Illinois
665,Pike County,Illinois
666,Pope County,Illinois
667,Pulaski County,Illinois
668,Putnam County,Illinois
669,Randolph County,Illinois
670,Richland County,Illinois
671,Rock Island County,Illinois
672,St. Clair County,Illinois
673,Saline County,Illinois
674,Sangamon County,Illinois
675,Schuyler County,Illinois
676,Scott County,Illinois
677,Shelby County,Illinois
678,Stark County,Illinois
679,Stephenson County,Illinois
680,Tazewell County,Illinois
681,Union County,Illinois
682,Vermilion County,Illinois
683,Wabash County,Illinois
684,Warren County,Illinois
685,Washington County,Illinois
686,Wayne County,Illinois
687,White County,Illinois
688,Whiteside County,Illinois
689,Will County,Illinois
690,Williamson County,Illinois
691,Winnebago County,Illinois
692,Woodford County,Illinois
693,Adams County,Indiana
694,Allen County,Indiana
695,Bartholomew County,Indiana
696,Benton County,Indiana
697,Blackford County,Indiana
698,Boone County,Indiana
699,Brown County,Indiana
700,Carroll County,Indiana
701,Cass County,Indiana
702,Clark County,Indiana
703,Clay County,Indiana
704,Clinton County,Indiana
705,Crawford County,Indiana
706,Daviess County,Indiana
707,Dearborn County,Indiana
708,Decatur County,Indiana
709,DeKalb County,Indiana
710,Delaware County,Indiana
711,Dubois County,Indiana
712,Elkhart County,Indiana
713,Fayette County,Indiana
714,Floyd County,Indiana
715,Fountain County,Indiana
716,Franklin County,Indiana
717,Fulton County,Indiana
718,Gibson County,Indiana
719,Grant County,Indiana
720,Greene County,Indiana
721,Hamilton County,Indiana
722,Hancock County,Indiana
723,Harrison County,Indiana
724,Hendricks County,Indiana
725,Henry County,Indiana
726,Howard County,Indiana
727,Huntington County,Indiana
728,Jackson County,Indiana
729,Jasper County,Indiana
730,Jay County,Indiana
731,Jefferson County,Indiana
732,Jennings County,Indiana
733,Johnson County,Indiana
734,Knox County,Indiana
735,Kosciusko County,Indiana
736,Lagrange County,Indiana
737,Lake County,Indiana
738,La Porte County,Indiana
739,Lawrence County,Indiana
740,Madison County,Indiana
741,Marion County,Indiana
742,Marshall County,Indiana
743,Martin County,Indiana
744,Miami County,Indiana
745,Monroe County,Indiana
746,Montgomery County,Indiana
747,Morgan County,Indiana
748,Newton County,Indiana
749,Noble County,Indiana
750,Ohio County,Indiana
751,Orange County,Indiana
752,Owen County,Indiana
753,Parke County,Indiana
754,Perry County,Indiana
755,Pike County,Indiana
756,Porter County,Indiana
757,Posey County,Indiana
758,Pulaski County,Indiana
759,Putnam County,Indiana
760,Randolph County,Indiana
761,Ripley County,Indiana
762,Rush County,Indiana
763,St. Joseph County,Indiana
764,Scott County,Indiana
765,Shelby County,Indiana
766,Spencer County,Indiana
767,Starke County,Indiana
768,Steuben County,Indiana
769,Sullivan County,Indiana
770,Switzerland County,Indiana
771,Tippecanoe County,Indiana
772,Tipton County,Indiana
773,Union County,Indiana
774,Vanderburgh County,Indiana
775,Vermillion County,Indiana
776,Vigo County,Indiana
777,Wabash County,Indiana
778,Warren County,Indiana
779,Warrick County,Indiana
780,Washington County,Indiana
781,Wayne County,Indiana
782,Wells County,Indiana
783,White County,Indiana
784,Whitley County,Indiana
785,Adair County,Iowa
786,Adams County,Iowa
787,Allamakee County,Iowa
788,Appanoose County,Iowa
789,Audubon County,Iowa
790,Benton County,Iowa
791,Black Hawk County,Iowa
792,Boone County,Iowa
793,Bremer County,Iowa
794,Buchanan County,Iowa
795,Buena Vista County,Iowa
796,Butler County,Iowa
797,Calhoun County,Iowa
798,Carroll County,Iowa
799,Cass County,Iowa
800,Cedar County,Iowa
801,Cerro Gordo County,Iowa
802,Cherokee County,Iowa
803,Chickasaw County,Iowa
804,Clarke County,Iowa
805,Clay County,Iowa
806,Clayton County,Iowa
807,Clinton County,Iowa
808,Crawford County,Iowa
809,Dallas County,Iowa
810,Davis County,Iowa
811,Decatur County,Iowa
812,Delaware County,Iowa
813,Des Moines County,Iowa
814,Dickinson County,Iowa
815,Dubuque County,Iowa
816,Emmet County,Iowa
817,Fayette County,Iowa
818,Floyd County,Iowa
819,Franklin County,Iowa
820,Fremont County,Iowa
821,Greene County,Iowa
822,Grundy County,Iowa
823,Guthrie County,Iowa
824,Hamilton County,Iowa
825,Hancock County,Iowa
826,Hardin County,Iowa
827,Harrison County,Iowa
828,Henry County,Iowa
829,Howard County,Iowa
830,Humboldt County,Iowa
831,Ida County,Iowa
832,Iowa County,Iowa
833,Jackson County,Iowa
834,Jasper County,Iowa
835,Jefferson County,Iowa
836,Johnson County,Iowa
837,Jones County,Iowa
838,Keokuk County,Iowa
839,Kossuth County,Iowa
840,Lee County,Iowa
841,Linn County,Iowa
842,Louisa County,Iowa
843,Lucas County,Iowa
844,Lyon County,Iowa
845,Madison County,Iowa
846,Mahaska County,Iowa
847,Marion County,Iowa
848,Marshall County,Iowa
849,Mills County,Iowa
850,Mitchell County,Iowa
851,Monona County,Iowa
852,Monroe County,Iowa
853,Montgomery County,Iowa
854,Muscatine County,Iowa
855,O'Brien County,Iowa
856,Osceola County,Iowa
857,Page County,Iowa
858,Palo Alto County,Iowa
859,Plymouth County,Iowa
860,Pocahontas County,Iowa
861,Polk County,Iowa
862,Pottawattamie County,Iowa
863,Poweshiek County,Iowa
864,Ringgold County,Iowa
865,Sac County,Iowa
866,Scott County,Iowa
867,Shelby County,Iowa
868,Sioux County,Iowa
869,Story County,Iowa
870,Tama County,Iowa
871,Taylor County,Iowa
872,Union County,Iowa
873,Van Buren County,Iowa
874,Wapello County,Iowa
875,Warren County,Iowa
876,Washington County,Iowa
877,Wayne County,Iowa
878,Webster County,Iowa
879,Winnebago County,Iowa
880,Winneshiek County,Iowa
881,Woodbury County,Iowa
882,Worth County,Iowa
883,Wright County,Iowa
884,Allen County,Kansas
885,Anderson County,Kansas
886,Atchison County,Kansas
887,Barber County,Kansas
888,Barton County,Kansas
889,Bourbon County,Kansas
890,Brown County,Kansas
891,Butler County,Kansas
892,Chase County,Kansas
893,Chautauqua County,Kansas
894,Cherokee County,Kansas
895,Cheyenne County,Kansas
896,Clark County,Kansas
897,Clay County,Kansas
898,Cloud County,Kansas
899,Coffey County,Kansas
900,Comanche County,Kansas
901,Cowley County,Kansas
902,Crawford County,Kansas
903,Decatur County,Kansas
904,Dickinson County,Kansas
905,Doniphan County,Kansas
906,Douglas County,Kansas
907,Edwards County,Kansas
908,Elk County,Kansas
909,Ellis County,Kansas
910,Ellsworth County,Kansas
911,Finney County,Kansas
912,Ford County,Kansas
913,Franklin County,Kansas
914,Geary County,Kansas
915,Gove County,Kansas
916,Graham County,Kansas
917,Grant County,Kansas
918,Gray County,Kansas
919,Greeley County,Kansas
920,Greenwood County,Kansas
921,Hamilton County,Kansas
922,Harper County,Kansas
923,Harvey County,Kansas
924,Haskell County,Kansas
925,Hodgeman County,Kansas
926,Jackson County,Kansas
927,Jefferson County,Kansas
928,Jewell County,Kansas
929,Johnson County,Kansas
930,Kearny County,Kansas
931,Kingman County,Kansas
932,Kiowa County,Kansas
933,Labette County,Kansas
934,Lane County,Kansas
935,Leavenworth County,Kansas
936,Lincoln County,Kansas
937,Linn County,Kansas
938,Logan County,Kansas
939,Lyon County,Kansas
940,McPherson County,Kansas
941,Marion County,Kansas
942,Marshall County,Kansas
943,Meade County,Kansas
944,Miami County,Kansas
945,Mitchell County,Kansas
946,Montgomery County,Kansas
947,Morris County,Kansas
948,Morton County,Kansas
949,Nemaha County,Kansas
950,Neosho County,Kansas
951,Ness County,Kansas
952,Norton County,Kansas
953,Osage County,Kansas
954,Osborne County,Kansas
955,Ottawa County,Kansas
956,Pawnee County,Kansas
957,Phillips County,Kansas
958,Pottawatomie County,Kansas
959,Pratt County,Kansas
960,Rawlins County,Kansas
961,Reno County,Kansas
962,Republic County,Kansas
963,Rice County,Kansas
964,Riley County,Kansas
965,Rooks County,Kansas
966,Rush County,Kansas
967,Russell County,Kansas
968,Saline County,Kansas
969,Scott County,Kansas
970,Sedgwick County,Kansas
971,Seward County,Kansas
972,Shawnee County,Kansas
973,Sheridan County,Kansas
974,Sherman County,Kansas
975,Smith County,Kansas
976,Stafford County,Kansas
977,Stanton County,Kansas
978,Stevens County,Kansas
979,Sumner County,Kansas
980,Thomas County,Kansas
981,Trego County,Kansas
982,Wabaunsee County,Kansas
983,Wallace County,Kansas
984,Washington County,Kansas
985,Wichita County,Kansas
986,Wilson County,Kansas
987,Woodson County,Kansas
988,Wyandotte County,Kansas
989,Adair County,Kentucky
990,Allen County,Kentucky
991,Anderson County,Kentucky
992,Ballard County,Kentucky
993,Barren County,Kentucky
994,Bath County,Kentucky
995,Bell County,Kentucky
996,Boone County,Kentucky
997,Bourbon County,Kentucky
998,Boyd County,Kentucky
999,Boyle County,Kentucky
1000,Bracken County,Kentucky
1001,Breathitt County,Kentucky
1002,Breckinridge County,Kentucky
1003,Bullitt County,Kentucky
1004,Butler County,Kentucky
1005,Caldwell County,Kentucky
1006,Calloway County,Kentucky
1007,Campbell County,Kentucky
1008,Carlisle County,Kentucky
1009,Carroll County,Kentucky
1010,Carter County,Kentucky
1011,Casey County,Kentucky
1012,Christian County,Kentucky
1013,Clark County,Kentucky
1014,Clay County,Kentucky
1015,Clinton County,Kentucky
1016,Crittenden County,Kentucky
1017,Cumberland County,Kentucky
1018,Daviess County,Kentucky
1019,Edmonson County,Kentucky
1020,Elliott County,Kentucky
1021,Estill County,Kentucky
1022,Fayette County,Kentucky
1023,Fleming County,Kentucky
1024,Floyd County,Kentucky
1025,Franklin County,Kentucky
1026,Fulton County,Kentucky
1027,Gallatin County,Kentucky
1028,Garrard County,Kentucky
1029,Grant County,Kentucky
1030,Graves County,Kentucky
1031,Grayson County,Kentucky
1032,Green County,Kentucky
1033,Greenup County,Kentucky
1034,Hancock County,Kentucky
1035,Hardin County,Kentucky
1036,Harlan County,Kentucky
1037,Harrison County,Kentucky
1038,Hart County,Kentucky
1039,Henderson County,Kentucky
1040,Henry County,Kentucky
1041,Hickman County,Kentucky
1042,Hopkins County,Kentucky
1043,Jackson County,Kentucky
1044,Jefferson County,Kentucky
1045,Jessamine County,Kentucky
1046,Johnson County,Kentucky
1047,Kenton County,Kentucky
1048,Knott County,Kentucky
1049,Knox County,Kentucky
1050,Larue County,Kentucky
1051,Laurel County,Kentucky
1052,Lawrence County,Kentucky
1053,Lee County,Kentucky
1054,Leslie County,Kentucky
1055,Letcher County,Kentucky
